Tree_ID,Plot_MG
7,Center
8,Center
9,Center
10,Center
11,Center
12,Center
13,Center
20,Center
30,Center
84,Center
86,Center
316,Center
379,West
380,West
381,West
382,West
383,West
384,West
385,West
388,West
389,West
391,West
392,West
393,West
400,West
647,West
648,West
664,West
665,West
666,West
667,West
668,West
669,West
670,West
671,West
672,West
673,West
674,West
677,West
678,West
679,West
680,West
681,West
682,West
683,West
684,West
685,West
686,West
687,West
688,West
689,West
690,West
691,West
695,West
696,West
697,West
698,West
699,West
957,West
958,West
959,West
960,West
961,West
962,West
963,West
964,West
965,West
966,West
967,West
968,West
969,West
970,West
971,West
972,West
973,West
974,West
975,West
977,Center
978,Center
979,Center
980,Center
981,Center
982,Center
983,Center
984,Center
985,Center
986,Center
987,Center
988,Center
989,Center
990,Center
991,Center
992,Center
993,Center
994,Center
995,Center
996,Center
997,Center
998,Center
999,Center
1000,Center
1001,West
1004,Center
1005,Center
1006,Center
1007,Center
1008,Center
1009,Center
1010,Center
1011,Center
1012,Center
1013,Center
1014,Center
1015,Center
1016,Center
1017,Center
1019,Center
1020,Center
1021,Center
1022,Center
1023,Center
1024,Center
1025,Center
1026,Center
1027,Center
1028,Center
1029,Center
1030,Center
1031,Center
1032,Center
1033,Center
1034,Center
1035,Center
1036,Center
1037,Center
1038,Center
1039,Center
1040,Center
398,West
